X Coord,Y Coord,Count Rate (per 10 second),Extrapolated CPM,
0,0,2,12,
0,0,9,54,
0,0,4,24,
0,0,8,48,
0,0,8,48,
0,0,7,42,
0,0,9,54,
0,0,5,30,
0,0,11,66,
0,0,7,42,
0,0,3,18,
0,0,9,54,
0,0,8,48,
0,0,9,54,
0,0,13,78,
0,0,8,48,
0,0,8,48,
0,0,4,24,
0,0,6,36,
0,0,5,30,
0,0,6,36,
0,0,10,60,
0,0,9,54,
0,0,7,42,
0,0,8,48,
0,0,8,48,
0,0,7,42,
0,0,11,66,
0,0,7,42,
0,0,6,36,
0,0,8,48,
0,0,2,12,
0,0,5,30,
0,0,6,36,
0,0,7,42,
0,0,8,48,
0,0,11,66,
0,0,14,84,
0,0,6,36,
0,0,8,48,
0,0,3,18,
0,0,10,60,
-0.224843147,0.529399001,11,66,
-0.259905054,0.912640155,4,24,
-0.37717195,1.104217076,4,24,
-0.554103973,1.266720741,3,18,
-0.854018537,1.386907605,8,48,
-1.295925403,1.45150981,7,42,
-1.741813927,1.538199557,4,24,
-2.015962193,1.643634179,12,72,
-2.200160985,1.826123055,5,30,
-2.292883502,2.011758477,9,54,
-2.292883502,2.011758477,7,42,
-2.292883502,2.011758477,9,54,
-2.292883502,2.011758477,6,36,
-2.292883502,2.011758477,7,42,
-2.292883502,2.011758477,2,12,
-2.292883502,2.011758477,5,30,
-2.292883502,2.011758477,7,42,
-2.292883502,2.011758477,10,60,
-2.292883502,2.011758477,2,12,
-2.292883502,2.011758477,6,36,
-2.292883502,2.011758477,13,78,
-2.292883502,2.011758477,6,36,
-2.292883502,2.011758477,5,30,
-2.292883502,2.011758477,7,42,
-2.292883502,2.011758477,4,24,
-2.292883502,2.011758477,9,54,
-2.292883502,2.011758477,8,48,
-2.292883502,2.011758477,9,54,
-2.292883502,2.011758477,5,30,
-2.292883502,2.011758477,2,12,
-2.292883502,2.011758477,9,54,
-0.96836972,-1.551692173,5,30,
-0.977927131,-1.551523955,7,42,
-0.988201508,-1.541979527,4,24,
-0.995504721,-1.536486349,4,24,
-0.963445156,-1.518955657,10,60,
-0.937641102,-1.4983865,9,54,
-0.865938703,-1.518851755,7,42,
-0.50785064,-1.833892711,6,36,
-0.198016337,-2.188532719,9,54,
0.086365346,-2.544215594,8,48,
0.086365346,-2.544215594,8,48,
0.086365346,-2.544215594,9,54,
